"Path","Hash"
"C:\Users\USER\slh-bot-clean\.dockerignore","7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6"
"C:\Users\USER\slh-bot-clean\.env","5564B6AFD30B16E1D22C5FEBE7EBE2879B61C7B5A7BAB527BE288E854BC9E940"
"C:\Users\USER\slh-bot-clean\.env.example","DAB86F98B7A39BCC9853D93C3BC2248395C09B901C15B89FAF1D6BA60BB33B84"
"C:\Users\USER\slh-bot-clean\.gitignore","8E1552B2DCF293EBB6681DB3EB6F74131EE31C80106C83C5CBB448C6A08ED246"
"C:\Users\USER\slh-bot-clean\.railway_bust","CA97CC706DC49ECC090DDED6BCC1833B2EEEC14B41BE6F59DE4127994EEAF6BB"
"C:\Users\USER\slh-bot-clean\.railwayignore","A5537F888E2E2E21D1F3BECA737181487D6ED37778C3C2F63F0ACCB06B16914D"
"C:\Users\USER\slh-bot-clean\_archive\legacy_handlers\20260813_210100\broadcast_handler.py","9743B031F2E0CD740159AFEE005E50E0EB60D315A21140B01BFFF8B73329C93D"
"C:\Users\USER\slh-bot-clean\ACTIVE_MARKDOWN.txt","E4D439105582EC4B7CBA7B299736B247C9D1D4363B38927703120314A31BF72F"
"C:\Users\USER\slh-bot-clean\adapters\cli.py","9FF59686572511F78317E9971EB1010E0064FFAE1C4CC36D8DE5F126CCCDC4F2"
"C:\Users\USER\slh-bot-clean\add_sync_patch.py","B6FE7BFFE798B6E8187E1BE93ADCB96E513C28E636D52B74B30B885BE1ED31D6"
"C:\Users\USER\slh-bot-clean\add_timeline_mode.sh","704DAC3660C30AEEEB15CDE88A9E29653B92786B00DDB8A35734151B471C3CB1"
"C:\Users\USER\slh-bot-clean\add_visibility_report.py","1124E2F06DA7AA78DA0DD83CC817755C203124FF52B675E7BB4B45A43412B252"
"C:\Users\USER\slh-bot-clean\admin_handler.py","AD6155E04A953962B74165A6609E7CBE314AE087BAD13E203C9BD4142DD1621D"
"C:\Users\USER\slh-bot-clean\admin_handler.py.bak_before_fix","8104B895F2A34449D65ABE4380A1C2C65BEBF2557320DCE671A167FB4CCAFE1E"
"C:\Users\USER\slh-bot-clean\admin_handler.py.before_html_fix","7C9C078F26C2DEEF8344042889034109C649C5FEF39916F5AE42675A789F2CF3"
"C:\Users\USER\slh-bot-clean\admin_handler.py.before_html_fix2","7C9C078F26C2DEEF8344042889034109C649C5FEF39916F5AE42675A789F2CF3"
"C:\Users\USER\slh-bot-clean\admin_handler.py.before_plain_fix","8104B895F2A34449D65ABE4380A1C2C65BEBF2557320DCE671A167FB4CCAFE1E"
"C:\Users\USER\slh-bot-clean\admin_menu.txt","C651CE0E75B53A0070333005975D8C910D09457B0C152039A6C4EC0D4EBA047D"
"C:\Users\USER\slh-bot-clean\admin_utils.py","74D280101FF9AA209AC99586916E3D70B7103BC102519BF5BDC52C25F2A3FFEA"
"C:\Users\USER\slh-bot-clean\advanced_ask_handler.py","186114BD408628C532A03221087AB855EBCA755F429099A3FC99D2A90E8C086F"
"C:\Users\USER\slh-bot-clean\advanced_ask_handler.py.bak_2124","964F0B40D922FAEDE379D67996AD065345468F967F9531EB1AE840B4EE42C51D"
"C:\Users\USER\slh-bot-clean\advanced_ask_handler.py.bak_2131","BCA5CD74EBCF09B91D33A1738F75D2EB5E7AD1B581CB88AE7FC376CD1CAF5F23"
"C:\Users\USER\slh-bot-clean\advanced_ask_handler.py.bak_file","4ADC2803592D65137F04A20DCEC4903E063C091F46312549C6B0240C398D2554"
"C:\Users\USER\slh-bot-clean\agent_client.py","8263D1F4E0849C8244C7B66A97B127168DC4DCFA0F59D798E83F85DBBF82930E"
"C:\Users\USER\slh-bot-clean\agent_client_pc.py","AFFC75B2EB76ED4BB7EA50DF08B69BBF7C99959C89A4DC2F344F1FD70FA229D7"
"C:\Users\USER\slh-bot-clean\AGENT_RULES.md","C682C096AC993D2CF1F288B1C7B09490ACCFD2AD6B8460436CF918BB91B40DBD"
"C:\Users\USER\slh-bot-clean\agents\echo.py","D44BEC47F8CF12D5A58BEB5D49FE6743CC98DBEFA0677BA8321DC661C4BB756A"
"C:\Users\USER\slh-bot-clean\agents\echo_agent.py","793CAE7805422CBE0E6DA704EC8CC9F5C3590F044D42F0D8720C16CA4F854E2A"
"C:\Users\USER\slh-bot-clean\agents\system_guard.py","D41B27E6F16C2EEEECB9358883C2BEECBE888C62B62ECE47C1C8B206F6BCF7F6"
"C:\Users\USER\slh-bot-clean\allowed_ids.json","FDD597B8B14664B5AC564C81F3D71BC9C2C9FA9BB6940C300068F6DEAB63D52A"
"C:\Users\USER\slh-bot-clean\API_REFERENCE.md","98F803D6B73811A6396357D84460E04242CB7C67F755EBF4C2FB530BB492BD02"
"C:\Users\USER\slh-bot-clean\ARCHITECTURE.md","EACDCE685A1960DC317876D10C78475E99F6A00BDC06669983F8CD42F6CD3380"
"C:\Users\USER\slh-bot-clean\archive\legacy_clients\agent_client_termux.py","2CEE96755624BA776E2145F5EFEC67BBFAC112C18901D8606C2BB474291D90EA"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\app.py","CB8DD1750EA64BB91971BF70AEDAF8AC41148F621B3340C4C12C3A61AD0A8FBF"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\compare_wallets.py","EF3BD5111EA1CFEBF9193C6A732F3252CFA65D72AA98E844913F62444513033F"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\database.py","073F37D29CE24C3A306D08685768A428895FA02061BD9F11C7419367446596B1"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\fix_db.py","94DD825D692A41DF9A0EB9742E79AC3AD51A4359D177E1B49ACD454551AFF3C8"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\fix_registration.py","15E9923B28325810A7692ADD7F2D9D30801EC5044A6E1100BC71CE4D46C07042"
"C:\Users\USER\slh-bot-clean\archive\legacy_economy\railway_bot.py","53504F2BBA03429FE841C5039A14479958D4FAE03739CE531196B17847A243E3"
"C:\Users\USER\slh-bot-clean\archive\web3_disabled\import_binance.py","3F4D499E13A1697B9CB90B07F8B1CEFA2B82B2BF6F213F174D862F0BC56226BB"
"C:\Users\USER\slh-bot-clean\archive\web3_disabled\staking_handler.py","E6691249D289CFB0A63E7FF5B492C029B9D8120169C3ED7C464ADBDEB10DD8DA"
"C:\Users\USER\slh-bot-clean\ask_handler.py","77D3AF1A2F0EB2B8479CE614C33F0FC6AA935779E78662EB3E8DA861CB10B42B"
"C:\Users\USER\slh-bot-clean\ask_test.py","C060CCA088485D476EA9E8FA17E3042BE0281001570191916459EBEB9EEC489B"
"C:\Users\USER\slh-bot-clean\assignment_approval.py","FBD41224213BABEEE26F0A96F23488B13A6E4772F8D44CBACA90E4654ADBCB43"
"C:\Users\USER\slh-bot-clean\assignment_commit.py","B08F3B9F9FFAEE3173D8DCB79E97C93EA0B636F8102557D1EEAED3F159ED1E48"
"C:\Users\USER\slh-bot-clean\assignment_preview.py","B8158BC8A6CB2D6953613B4AB63B900829B78D4CB6FF67E3658D638AC18BD251"
"C:\Users\USER\slh-bot-clean\audit.jsonl","E533AA14FDC5856D01B5969F10A2239D9E7D9ADC13CD3040A8356341F666F809"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\01_identity.txt","73B525516E8A10A543F258EF8F2410CFFC43D9F2A884CB0A4263148364A3DA35"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\02_git_diff_stat.txt","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\02_git_history.txt","E7836E79960DB9B004A00E1F576D471997D43F67FB05E32C0CA4BBCC04A4990C"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\02_git_status.txt","24FA842495E2E6A876FCAA2ED498D8539272578BA8F4903A8ACFE37E1F5F9F9D"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\03_deployment.txt","3881702B48644E82CAAC5B340D192F6D54499A218A8D7EABC39E3C3E8BEC5E5C"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\04_python_inventory.txt","064250BC5D17CB5980D3845A39CF44A381CDDDF3E3C208A2A456B07B0E81C0E9"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\05_entrypoint_candidates.txt","E33EE36461FCA4B5108F89B705D52AD0F0BEFA46B72DA3052181F24288540677"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\06_loader_candidates.txt","4F300CCF44EF5A95077F35F83848FC5EB2CFF9AB0B5019E45D1A3CA32FDA4735"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\07_state_inventory.txt","EA5788A4B34F1CFB6C8D42F497C1E3D50B715A5F942567729C860F908B8DB8D5"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\08_handlers.txt","BCCE9BAA6DD5B0007D5D25D742B1CF166BCF7D83527A781A25C6F865463FCE51"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\09_tests.txt","8B68E79606BF4657B33B020AFCC14EF093BF350BB9377884C5F967C44942D992"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\10_legacy_backup.txt","8BA58E017D21C6A7BA447BF8448040BBAE6F9E3702B73D990A84F67730C07431"
"C:\Users\USER\slh-bot-clean\AUDIT_20260813_FULL\11_documents.txt","ACCF856FA28DDB688ECE4357581A4E72EA70432401C38DDCC4004718BC51EC8E"
"C:\Users\USER\slh-bot-clean\AUDIT_DEEP.md","879EE37CCDCA87360BF806CABDE8D95BB970544E26310E6E7DE920CF8D65B952"
"C:\Users\USER\slh-bot-clean\audit_logger.py","C7A4690A9B6597ACDC66FC023141F0D53B0D0A136785E4BB45B93502509770B1"
"C:\Users\USER\slh-bot-clean\AUDIT_OUTPUT.txt","E42ADADA3D25B8202B41189739C73EA75C0037308CF61528A913791F62866617"
"C:\Users\USER\slh-bot-clean\BALANCE_WRITES.txt","48D63DAB7407E15586FFA39D169838CB669591A94E9B76BB0AF86B0BFAF0E934"
"C:\Users\USER\slh-bot-clean\bot.log.old","6486F31CDEA01C88B10AFA5697BF626288043EBF10B8951B178015B14B617C89"
"C:\Users\USER\slh-bot-clean\bot.py.legacy_disabled","83F3C4165FEF395A12542E3C6746008F69EB77D427CE10B4FD59DCE4F910A847"
"C:\Users\USER\slh-bot-clean\bot_core.py","9D1D136DFCD22D2306B22EE2BFA6B168A88585F9476CB8161BC442A7E3168159"
"C:\Users\USER\slh-bot-clean\bot_gateway.py","1C7FE0231468A7E832A873DD076D4C3CB0D5B0E24642568DC3417BC3752F388C"
"C:\Users\USER\slh-bot-clean\bot_gateway.py.bak_before_namefix","03C3B914C1BC5D565708606225C8FBD5974B0ADDA90B16DDAF0AB96A7AA756FA"
"C:\Users\USER\slh-bot-clean\bot_gateway.py.before_fix","03C3B914C1BC5D565708606225C8FBD5974B0ADDA90B16DDAF0AB96A7AA756FA"
"C:\Users\USER\slh-bot-clean\bot_gateway.py.pre_dotenv_fix.bak","63A6A62A7765289E92DE0AFAF623A14382DD51E4A5210268FE6C852CB78270E8"
"C:\Users\USER\slh-bot-clean\bot_gateway.py.pre_dotenv_force_fix.bak","63A6A62A7765289E92DE0AFAF623A14382DD51E4A5210268FE6C852CB78270E8"
"C:\Users\USER\slh-bot-clean\bot_gateway.py.pre_envsafe_fix.bak","01198756B2DB664B99FA5AF156189C42BAFBA0B75760F2C4D9DAB21C24D48B1F"
"C:\Users\USER\slh-bot-clean\bot_stable.py","CC5BFA425D1FE53C87C5166DC8DD3E0E77BE6F4C6C6AB6D721D67E3D931FFB4A"
"C:\Users\USER\slh-bot-clean\bot_stable.py.backup_before_market_cleanup","3D2E4FC9128EE50E8E0C71FCC3F06ED4B47E902D25E2F546D3B23093CB7B5509"
"C:\Users\USER\slh-bot-clean\bot_stable.py.backup_before_remove_legacy_ask","B348B7D71CED5580426E9C210403166F348C0FD64F722D52A449BA64A17C1F1A"
"C:\Users\USER\slh-bot-clean\bot_stable.py.backup_market_fix","3D2E4FC9128EE50E8E0C71FCC3F06ED4B47E902D25E2F546D3B23093CB7B5509"
"C:\Users\USER\slh-bot-clean\bot_stable.py.backup_remove_ask","B348B7D71CED5580426E9C210403166F348C0FD64F722D52A449BA64A17C1F1A"
"C:\Users\USER\slh-bot-clean\bot_stable.py.before_authority_cleanup_20260813","19C198798AF245A2973070C6C779EA6CD38CA0D53C2E41E5D7C39E5FC188932E"
"C:\Users\USER\slh-bot-clean\bot_stable.py.before_loader_cleanup","AFC76CAB43CCA62231A2A4490AD34720A468EB7F85229D07C718964FAAAE5794"
"C:\Users\USER\slh-bot-clean\bot_stable.py.before_logs_cleanup","A01C0D07B76610468C8CD7755C04DD4EFD06DDF8ADC62595166DBDE18B9A45BD"
"C:\Users\USER\slh-bot-clean\bot_stable.py.before_logs_remove_final","A01C0D07B76610468C8CD7755C04DD4EFD06DDF8ADC62595166DBDE18B9A45BD"
"C:\Users\USER\slh-bot-clean\bot_stable.py.pre_context_import_fix","638F0E02B02CF3469C6BA65695FDB27BFD21662A584F31917B65F5F8D17C38E1"
"C:\Users\USER\slh-bot-clean\bot_stable.py.pre_eventbus_fix","E3DCF5F62190B6479298967EAC706599B99AE8CE28DBCFD947A73FFE3344BA31"
"C:\Users\USER\slh-bot-clean\bot_stable.py.pre_mission_import_fix","638F0E02B02CF3469C6BA65695FDB27BFD21662A584F31917B65F5F8D17C38E1"
"C:\Users\USER\slh-bot-clean\bot_telegram.py","63466ABC99631F7D6BADE3BF642D586024A48C97D94DD5331479E16426363CD7"
"C:\Users\USER\slh-bot-clean\bot_telegram.py.backup","63466ABC99631F7D6BADE3BF642D586024A48C97D94DD5331479E16426363CD7"
"C:\Users\USER\slh-bot-clean\branding\favicon.svg","623CF1130309AC1F9E7A4382176CE9C849F3F4C84ABEBCFB8EDFDDE5FFF9D3F6"
"C:\Users\USER\slh-bot-clean\branding\SLH_LOGO.txt","A22578325CA7FE917B0AB60092C7C73501853D392EF976108F8E5F99145BF7F5"
"C:\Users\USER\slh-bot-clean\branding\slh-logo.svg","2C922BE9F97EE921A87E7F962B555797B160B9C4F24EA051253C89803C857ACE"
"C:\Users\USER\slh-bot-clean\bridged_runtime.txt","D18015E45ED241D6241E14010164D8C1FCD0061C467C0CC18C7BCDCCD0AB8D4E"
"C:\Users\USER\slh-bot-clean\brief_handler.py","8DE3C693E78A8B9AB60A915C9CAE0888EC62CC851DD96A2B85D7C9418FF79C5F"
"C:\Users\USER\slh-bot-clean\broadcast_script.txt","90F0DBC4433927A73D7CBA234246B8C59C514D302DF2644B85742BDCBBCFCFC0"
"C:\Users\USER\slh-bot-clean\build.sh","DBD9F0F200D64B2638B304D4859DDBF79CD3CFCFBE00ACB84D9F1CAE3F0CFEB2"
"C:\Users\USER\slh-bot-clean\c","CCC04FEC3B678E9F620CFA3BC2091C2BE2A884C6FC1EA0317F330B190AA61714"
"C:\Users\USER\slh-bot-clean\check_api_start.sh","6FDBB3EE8C970D7E1C167D8B64871D14FA16A9A6A6FC111216496434D52BE618"
"C:\Users\USER\slh-bot-clean\check_Dockerfile","E3857CA785F08418715FFDF2B2F0E398FF76C15822F3B0A6CA3A0AE81C93FD5C"
"C:\Users\USER\slh-bot-clean\checkpoint_manager.py","0BF2A42A50BC57B404A2FC40402F01DA6D7BD9D78F959F2F9255BC5D4B5DF0FE"
"C:\Users\USER\slh-bot-clean\CLEAN_CURRENT_TREE.txt","BAA36539ACF06FDF8BE93A05AE7557D1D675A28ED9BDB275677E9C3A5D06AB2A"
"C:\Users\USER\slh-bot-clean\command_audit.py","AA153446726C06114AC29829D2BB1543835EF7AC4B0199956720572A54822E85"
"C:\Users\USER\slh-bot-clean\COMMAND_OWNERSHIP_AUDIT.json","612919F9881337762A4C816B04EE878457F38F7031C5FE661C98CB3B91C9E169"
"C:\Users\USER\slh-bot-clean\complete_handler.py","54099FC9355B57602B8728271F2E71AE737929AF0E8B25B75372DB0D2562BEBB"
"C:\Users\USER\slh-bot-clean\config.json","491B3435BBC28081BE1D0959990A25B80323756A59A6FA54272F449A9FF43623"
"C:\Users\USER\slh-bot-clean\config.json.broken","61CD9BED513BF676E6D40F74BA949AF9F25CBF52DDBB38F11659731D086373C3"
"C:\Users\USER\slh-bot-clean\config.tmp","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"C:\Users\USER\slh-bot-clean\config.txt","ABB1DCB483FE7A5F7780EB3869820C4EB384D241A4CD990AC7C6307302B3F442"
"C:\Users\USER\slh-bot-clean\CONTROL_CENTER_FORENSIC_20260726_095133.txt.gz","A381A65BA994AA609B27196B7CEB758737287898EC674552EC67DE1A519BE6A4"
"C:\Users\USER\slh-bot-clean\control_layer.py","2D8BE06E31A2031642E62665A9F3F172CE9272E3A1BD51F6874538478E6FA129"
"C:\Users\USER\slh-bot-clean\core\academy_manager.py","929C36C03AE2CCA21368CC451A248206014688EEDD45DBA0CE2A8D138E11ACDD"
"C:\Users\USER\slh-bot-clean\core\agent_factory.py","6A72C4E5943C524B59F8F74F1C13E010B0740D1F455688892425B60EE49AD418"
"C:\Users\USER\slh-bot-clean\core\agent_registry.py","19AA0360019665C16D714538F5764DB0892BC3B537A3D48C342D29928CF2C105"
"C:\Users\USER\slh-bot-clean\core\agent_registry.py.pre_state_store_20260726T193953Z","F967F3A8FFEE232830959024ED0DCC67049CC39D25A8D09DC54EBF5B672FF52A"
"C:\Users\USER\slh-bot-clean\core\agent_state_store.py","93D4667782B0BC191C48036112E615E27774B97A8015EF1816080276F462DC9E"
"C:\Users\USER\slh-bot-clean\core\ai_guard.py","94239FCD1B120FF732B030AEEE81A2181FC48F5B386DCEFB02EA642BEEB08801"
"C:\Users\USER\slh-bot-clean\core\ask_debug.py","8E9BD247766EB82DE916B60381F83A177D146029B7A923E98C3D74BF627C2D60"
"C:\Users\USER\slh-bot-clean\core\ask_guard.py","B89043CCCF463B27CCAA8EEA2BFFE678C696649B3F0C5D1D142144CA054C3A54"
"C:\Users\USER\slh-bot-clean\core\ask_router.py","CA7FEBE5F3E57522C32A898D9C64BF286317E8DCC8DD96B9FCB9A8312FAF6644"
"C:\Users\USER\slh-bot-clean\core\ask_router.py.bak2","211744084C4A93AA9959281D702C8F5FB5699C2FB3D3DE76AFA3069A560B91B6"
"C:\Users\USER\slh-bot-clean\core\audit.py","7874CDADFDE5E080F4BCA56FA8876387D1ECE3C1F0B4FE824F314A6851B92015"
"C:\Users\USER\slh-bot-clean\core\bootstrap_commands.py","666817031EFA33D0F8F239414F297108D4397BD55EB808106DD54104927EC636"
"C:\Users\USER\slh-bot-clean\core\command_registry_loader.py","A92CB344CC19607A8108EF065EBC792DC5CB0697E9DD97747040FF3E5981CDE6"
