"File","LineNumber","Line"
"core\agent_factory.py","8","It does NOT dynamically import arbitrary names from state/db.json."
"core\agent_factory.py","112","with open(""state/db.json"", encoding=""utf-8"") as f:"
"core\agent_state_store.py","15","DB_PATH = ROOT / ""state"" / ""db.json"""
"core\agent_state_store.py","89","json.dump("
"core\context_builder.py","46","ctx[""users""] = _count_from_file(""state/db.json"", ""users"")"
"core\context_builder.py","47","ctx[""tasks""] = _count_from_file(""state/db.json"", ""tasks"")"
"core\context_builder.py","48","ctx[""agents""] = _count_from_file(""state/db.json"", ""agents"")"
"core\control_center.py","38","""state/db.json"","
"core\event_store.py","4","def __init__(self, db_path=""events.db""):"
"core\profile_manager.py","6","DB_PATH = ""state/db.json"""
"core\profile_manager.py","26","json.dump("
"core\system_state_gateway.py","29","DB_PATH = ROOT / ""state"" / ""db.json"""
"core\system_state_gateway.py","166","""source"": ""state/db.json"","
"core\system_state_gateway.py","188","""source"": ""state/db.json"","
"core\system_state_gateway.py","195","""source"": ""state/db.json"","
"core\system_state_gateway.py","200","""source"": ""state/db.json"","
"core\system_state_gateway.py","222","""source"": ""state/db.json"","
"core\system_state_gateway.py","229","""source"": ""state/db.json"","
"core\system_state_gateway.py","234","""source"": ""state/db.json"","
"core\system_state_gateway.py","276","""state/db.json"""
"handlers\admin_extras.py","7","with open('state/db.json') as f:"
"handlers\admin_extras.py","35","with open('state/db.json', 'rb') as f:"
"handlers\ai_voting_handler.py","4","DB = ""state/db.json"""
"handlers\ai_voting_handler.py","48","json.dump(db, f, indent=2, ensure_ascii=False)"
"handlers\bot_identity_handler.py","4","DB_PATH = Path(""state/db.json"")"
"handlers\bot_identity_handler.py","14","json.dump(db, f, ensure_ascii=False, indent=2)"
"handlers\broadcast_handler.py","20","db = json.load(open(""state/db.json"", encoding=""utf-8""))"
"handlers\cleanup_handler.py","7","with open('state/db.json', encoding='utf-8') as f:"
"handlers\dashboard_handler.py","10","with open(""state/db.json"", encoding=""utf-8"") as f:"
"handlers\device_handler.py","12","json.dump(data, f, indent=2, ensure_ascii=False)"
"handlers\dev_handler.py","21","with open('state/db.json') as f:"
"handlers\esp_handler.py","24","json.dump(data, f, indent=2, ensure_ascii=False)"
"handlers\feedback_handler.py","28","json.dump(data, f, indent=2, ensure_ascii=False)"
"handlers\governance_handler.py","7","DB_PATH = BASE_DIR / ""state"" / ""db.json"""
"handlers\leaderboard_handler.py","7","def show_leaderboard(db_path=""state/db.json""):"
"handlers\llm_handler.py","131","with open(""state/db.json"", encoding=""utf-8"") as f:"
"handlers\llm_handler.py","173","return ""📁 מקור הנתונים: state/db.json + state/agents.json (Railway volume)"""
"handlers\me_handler.py","16","with open(""state/db.json"", encoding=""utf-8"") as f:"
"handlers\monitor_handler.py","13","json.dump(data, f, indent=2, ensure_ascii=False)"
"handlers\onboarding_v2.py","16","""state/db.json"","
"handlers\recovery_handler.py","17","""state/db.json"","
"handlers\recovery_handler.py","27","with open(""state/db.json"", encoding=""utf-8"") as x:"
"handlers\recovery_handler.py","43","lines.append(f""Users: source state/db.json ({len(users)})"")"
"handlers\recovery_verify_handler.py","20","""state/db.json"","
"handlers\recovery_verify_handler.py","35","""state/db.json"","
"handlers\recovery_verify_handler.py","48","with open(""state/db.json"", encoding=""utf-8"") as x:"
"handlers\staking_handler.py","8","with open('state/db.json', encoding='utf-8') as f:"
"handlers\staking_handler.py","17","with open('state/db.json', 'w', encoding='utf-8') as f:"
"handlers\staking_handler.py","18","json.dump(db, f, ensure_ascii=False, indent=2)"
"handlers\staking_handler.py","27","with open('state/db.json', encoding='utf-8') as f:"
"handlers\staking_handler.py","35","with open('state/db.json', 'w', encoding='utf-8') as f:"
"handlers\staking_handler.py","36","json.dump(db, f, ensure_ascii=False, indent=2)"
"handlers\task_handler.py","9","TASK_FILE = ""state/db.json"""
"handlers\task_handler.py","19","json.dump("
"handlers\ton_wallet.py","4","DB_PATH = BASE_DIR / ""state"" / ""db.json"""
"handlers\ton_wallet.py","47","json.dump("
"handlers\user_handler.py","4","DB_PATH = os.path.join(os.path.dirname(__file__), '..', 'state', 'db.json')"
"plugins\education.py","2","def __init__(self, db_path=""state/db.json""):"
"plugins\education.py","3","self.db_path = db_path"
"plugins\leaderboard.py","7","def __init__(self, db_path=""state/db.json""):"
"plugins\leaderboard.py","8","self.db_path = db_path"
"plugins\voting.py","4","def __init__(self, db_path=""state/db.json""):"
"plugins\voting.py","5","self.db_path = db_path"
"plugins\voting.py","12","json.dump(db, open(self.db_path, ""w""), ensure_ascii=False, indent=2)"
"services\task_service.py","18","json.dump(board, f, indent=2, ensure_ascii=False)"
"state\custom_handlers\ai_event_handler.py","6","with open(""state/db.json"", encoding=""utf-8"") as f:"
"state\custom_handlers\ai_event_handler.py","24","with open(""state/db.json"", ""w"") as f:"
"state\custom_handlers\ai_event_handler.py","25","json.dump(db, f, indent=2, ensure_ascii=False)"
"state\custom_handlers\developer.py","27","json.dump(devs, f, indent=2)"
"state\custom_handlers\dynamic_leaderboard.py","3","DB_PATH = ""state/db.json"""
"state\reputation_audit.py","17","json.dump(data, f, indent=2)"
"state\reputation_engine.py","18","json.dump(data, f, indent=2)"
"state\reputation_engine.py","30","json.dump(data, f, indent=2)"
"state\reputation_guard.py","15","json.dump(events, f, indent=2)"
"state\token_loader.py","22","with open('state/db.json') as f:"
"state\token_loader.py","32","with open('state/db.json') as f:"
"store\purchase_service.py","21","json.dump(data, f, indent=2, ensure_ascii=False)"
"tools\agent_state_autopilot.py","139","print(""state/db.json"")"
"tools\agent_state_autopilot.py","212","print(""2. Rebuild state/agents.json from state/db.json"")"
"tools\agent_sync_guard.py","6","DB=""state/db.json"""
"tools\agent_sync_guard.py","36","json.dump("
"tools\full_system_audit.py","34","d=json.load(open(""state/db.json"", encoding=""utf-8""))"
"tools\runtime_state_access_classification.py","164","""state/db.json"" in lower"
"tools\session_closure_audit.py","177","for path in [ROOT / ""config.json"", ROOT / ""state/db.json""]:"
"tools\slh_doctor.py","54","path=""state/db.json"""
"tools\slh_doctor.py","57","raise Exception(""missing state/db.json"")"
"tools\user_acceptance_audit.py","57","db_file = ROOT / ""state"" / ""db.json"""
"agent_client.py","3","DB_PATH = ""state/db.json"""
"agent_client.py","64","db_path = ""state/db.json"""
"agent_client.py","92","json.dump(db, f, indent=2, ensure_ascii=False)"
"bot_gateway.py","102","with open(""state/db.json"", encoding=""utf-8"") as f:"
"bot_stable.py","69","DB_FILE = cfg.get(""DB_FILE"", ""state/db.json"")"
"bot_stable.py","142","json.dump(db, f, indent=2)"
"bot_stable.py","261","users=json.load(open(""state/db.json"", encoding=""utf-8"")).get(""users"", {})"
"bot_stable.py","365","json.dump(goals, open(path, ""w""))"
